Microorganism,Species,Strain,Product group,Product,Treatment,aw,pH,T,D,z,log D,log D (model),Ref,Year,Remarks,,log D model dairy,log D model milk,log D model meat,log D model beef,log D model chicken,,F-test,logD (all),logD (10% NaCl),logD (rest)
Listeria,monocytogenes,,Dairy,Milk,"skim, raw",,,63.3,0.466666667,5.8,-0.330993219,-0.113,ICMSF,1996,,,-0.209,-0.22889,,,,,,-0.071558267,,-0.112334372
Listeria,monocytogenes,,Dairy,Milk,"skim, raw",,,66.1,0.213333333,5.8,-0.670941281,-0.5106,ICMSF,1996,,,-0.6486,-0.67773,,,,,,-0.458170359,,-0.509907088
Listeria,monocytogenes,,Dairy,Milk,"skim, raw",,,68.9,0.061666667,5.8,-1.209949526,-0.9082,ICMSF,1996,,,-1.0882,-1.12657,,,,,,-0.84478245,,-0.907479803
Listeria,monocytogenes,,Dairy,Milk,"skim, sterile",,,52.2,28.53,6.5,1.455301772,1.4632,ICMSF,1996,,,1.5337,1.55044,,,,,,1.461082525,,1.463757462
Listeria,monocytogenes,,Dairy,Milk,"skim, sterile",,,57.8,4.1,6.5,0.612783857,0.668,ICMSF,1996,,,0.6545,0.65276,,,,,,0.687858341,,0.668612032
Listeria,monocytogenes,,Dairy,Milk,"skim, sterile",,,63.3,0.431666667,6.5,-0.364851486,-0.113,ICMSF,1996,,,-0.209,-0.22889,,,,,,-0.071558267,,-0.112334372
Listeria,monocytogenes,,Dairy,Milk,"skim, sterile",,,66.1,0.2,6.5,-0.698970004,-0.5106,ICMSF,1996,,,-0.6486,-0.67773,,,,,,-0.458170359,,-0.509907088
Listeria,monocytogenes,,Dairy,Milk,"skim, sterile",,,68.9,0.073333333,6.5,-1.134698574,-0.9082,ICMSF,1996,,,-1.0882,-1.12657,,,,,,-0.84478245,,-0.907479803
Listeria,monocytogenes,,Dairy,Milk,"skim, sterile",,,71.7,0.028333333,6.5,-1.547702329,-1.3058,ICMSF,1996,,,-1.5278,-1.57541,,,,,,-1.231394542,,-1.305052518
Listeria,monocytogenes,19113,Dairy,Milk,whole,,,62.7,0.4,,-0.397940009,-0.0278,Donnelly and Briggs,1986,,,-0.1148,-0.13271,,,,,,0.011287181,,-0.027140219
Listeria,monocytogenes,19115,Dairy,Milk,whole,,,62.7,0.4,,-0.397940009,-0.0278,Donnelly and Briggs,1986,,,-0.1148,-0.13271,,,,,,0.011287181,,-0.027140219
Listeria,monocytogenes,F5069,Dairy,Milk,whole,,,62.7,1,4.3,0,-0.0278,Donnelly and Briggs,1986,,,-0.1148,-0.13271,,,,,,0.011287181,,-0.027140219
Listeria,monocytogenes,19111,Dairy,Milk,whole,,,62.7,0.65,,-0.187086643,-0.0278,Donnelly and Briggs,1986,,,-0.1148,-0.13271,,,,,,0.011287181,,-0.027140219
Listeria,monocytogenes,F5027,Dairy,Milk,whole,,,62.7,0.35,,-0.455931956,-0.0278,Donnelly and Briggs,1986,,,-0.1148,-0.13271,,,,,,0.011287181,,-0.027140219
Listeria,monocytogenes,F5069,Dairy,Milk,whole,,,55,24,4.3,1.380211242,1.0656,Donnelly and Briggs,1986,,,1.0941,1.1016,,,,,,1.074470433,,1.066184747
Listeria,monocytogenes,F5069,Dairy,Milk,whole,,,65,0.1,4.3,-1,-0.3544,Donnelly and Briggs,1986,,,-0.4759,-0.5014,,,,,,-0.306287037,,-0.353717807
Listeria,monocytogenes,F5069,Dairy,Milk,whole,,,62.9,0.6,,-0.22184875,-0.0562,Doyle et al.,2001,"Growth 37 ﾂｰC, aerobic",,-0.1462,-0.16477,,,,,,-0.016327968,,-0.05553827
Listeria,monocytogenes,F5069,Dairy,Milk,whole,,,62.9,2.5,,0.397940009,-0.0562,Doyle et al.,2001,"Growth 37 ﾂｰC, anaerobic",,-0.1462,-0.16477,,,,,,-0.016327968,,-0.05553827
Listeria,monocytogenes,F5069,Dairy,Milk,whole,,,62.9,1.53,,0.184691431,-0.0562,Doyle et al.,2001,"Growth 43 ﾂｰC, aerobic",,-0.1462,-0.16477,,,,,,-0.016327968,,-0.05553827
Listeria,monocytogenes,F5069,Dairy,Milk,whole,,,62.9,4.05,,0.607455023,-0.0562,Doyle et al.,2001,"Growth 43 ﾂｰC, anaerobic",,-0.1462,-0.16477,,,,,,-0.016327968,,-0.05553827
Listeria,monocytogenes,NCTC 98635S,Dairy,Milk,whole,,,56,9.6,5,0.982271233,0.9236,Doyle et al.,2001,Growth 37 ﾂｰC,,0.9371,0.9413,,,,,,0.936394686,,0.924194492
Listeria,monocytogenes,NCTC 98635S,Dairy,Milk,whole,,,60,1.5,5,0.176091259,0.3556,Doyle et al.,2001,Growth 37 ﾂｰC,,0.3091,0.3001,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,NCTC 98635S,Dairy,Milk,whole,,,62.9,0.4,5,-0.397940009,-0.0562,Doyle et al.,2001,Growth 37 ﾂｰC,,-0.1462,-0.16477,,,,,,-0.016327968,,-0.05553827
Listeria,monocytogenes,NCTC 98635S,Dairy,Milk,whole,,,56,24.5,5.1,1.389166084,0.9236,Doyle et al.,2001,Growth 42.8 ﾂｰC,,0.9371,0.9413,,,,,,0.936394686,,0.924194492
Listeria,monocytogenes,NCTC 98635S,Dairy,Milk,whole,,,60,3.7,5.1,0.568201724,0.3556,Doyle et al.,2001,Growth 42.8 ﾂｰC,,0.3091,0.3001,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,NCTC 98635S,Dairy,Milk,whole,,,62.9,1.1,5.1,0.041392685,-0.0562,Doyle et al.,2001,Growth 42.8 ﾂｰC,,-0.1462,-0.16477,,,,,,-0.016327968,,-0.05553827
Listeria,monocytogenes,NCTC 98635R,Dairy,Milk,whole,,,56,10.5,5,1.021189299,0.9236,Doyle et al.,2001,Growth 37 ﾂｰC,,0.9371,0.9413,,,,,,0.936394686,,0.924194492
Listeria,monocytogenes,NCTC 98635R,Dairy,Milk,whole,,,60,1.7,5,0.230448921,0.3556,Doyle et al.,2001,Growth 37 ﾂｰC,,0.3091,0.3001,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,NCTC 98635R,Dairy,Milk,whole,,,62.9,0.4,5,-0.397940009,-0.0562,Doyle et al.,2001,Growth 37 ﾂｰC,,-0.1462,-0.16477,,,,,,-0.016327968,,-0.05553827
Listeria,monocytogenes,NCTC 98635R,Dairy,Milk,whole,,,56,29.1,5.2,1.463892989,0.9236,Doyle et al.,2001,Growth 42.8 ﾂｰC,,0.9371,0.9413,,,,,,0.936394686,,0.924194492
Listeria,monocytogenes,NCTC 98635R,Dairy,Milk,whole,,,60,4.4,5.2,0.643452676,0.3556,Doyle et al.,2001,Growth 42.8 ﾂｰC,,0.3091,0.3001,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,NCTC 98635R,Dairy,Milk,whole,,,62.9,1.4,5.2,0.146128036,-0.0562,Doyle et al.,2001,Growth 42.8 ﾂｰC,,-0.1462,-0.16477,,,,,,-0.016327968,,-0.05553827
Listeria,monocytogenes,NCTC 11994S,Dairy,Milk,whole,,,56,10.1,5,1.004321374,0.9236,Doyle et al.,2001,Growth 37 ﾂｰC,,0.9371,0.9413,,,,,,0.936394686,,0.924194492
Listeria,monocytogenes,NCTC 11994S,Dairy,Milk,whole,,,60,1.5,5,0.176091259,0.3556,Doyle et al.,2001,Growth 37 ﾂｰC,,0.3091,0.3001,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,NCTC 11994S,Dairy,Milk,whole,,,62.9,0.4,5,-0.397940009,-0.0562,Doyle et al.,2001,Growth 37 ﾂｰC,,-0.1462,-0.16477,,,,,,-0.016327968,,-0.05553827
Listeria,monocytogenes,NCTC 11994S,Dairy,Milk,whole,,,56,26.5,5.1,1.423245874,0.9236,Doyle et al.,2001,Growth 42.8 ﾂｰC,,0.9371,0.9413,,,,,,0.936394686,,0.924194492
Listeria,monocytogenes,NCTC 11994S,Dairy,Milk,whole,,,60,3.9,5.1,0.591064607,0.3556,Doyle et al.,2001,Growth 42.8 ﾂｰC,,0.3091,0.3001,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,NCTC 11994S,Dairy,Milk,whole,,,62.9,1.2,5.1,0.079181246,-0.0562,Doyle et al.,2001,Growth 42.8 ﾂｰC,,-0.1462,-0.16477,,,,,,-0.016327968,,-0.05553827
Listeria,monocytogenes,NCTC 11994R,Dairy,Milk,whole,,,56,11.4,5.1,1.056904851,0.9236,Doyle et al.,2001,Growth 37 ﾂｰC,,0.9371,0.9413,,,,,,0.936394686,,0.924194492
Listeria,monocytogenes,NCTC 11994R,Dairy,Milk,whole,,,60,1.8,5.1,0.255272505,0.3556,Doyle et al.,2001,Growth 37 ﾂｰC,,0.3091,0.3001,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,NCTC 11994R,Dairy,Milk,whole,,,62.9,0.5,5.1,-0.301029996,-0.0562,Doyle et al.,2001,Growth 37 ﾂｰC,,-0.1462,-0.16477,,,,,,-0.016327968,,-0.05553827
Listeria,monocytogenes,NCTC 11994R,Dairy,Milk,whole,,,56,31.5,5.2,1.498310554,0.9236,Doyle et al.,2001,Growth 42.8 ﾂｰC,,0.9371,0.9413,,,,,,0.936394686,,0.924194492
Listeria,monocytogenes,NCTC 11994R,Dairy,Milk,whole,,,60,4.8,5.2,0.681241237,0.3556,Doyle et al.,2001,Growth 42.8 ﾂｰC,,0.3091,0.3001,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,NCTC 11994R,Dairy,Milk,whole,,,62.9,1.4,5.2,0.146128036,-0.0562,Doyle et al.,2001,Growth 42.8 ﾂｰC,,-0.1462,-0.16477,,,,,,-0.016327968,,-0.05553827
Listeria,monocytogenes,F5069,Dairy,Milk,whole,,,71.7,0.05,,-1.301029996,-1.3058,Doyle et al.,2001,,,-1.5278,-1.57541,,,,,,-1.231394542,,-1.305052518
Listeria,monocytogenes,F5069,Dairy,Milk,whole,,,71.7,0.077,,-1.113509275,-1.3058,Doyle et al.,2001,"Heat shock, 15 min 48 ﾂｰC",,-1.5278,-1.57541,,,,,,-1.231394542,,-1.305052518
Listeria,monocytogenes,V7; F6861,Dairy,Milk,whole,,,57.9,2.45,,0.389166084,0.6538,Doyle et al.,2001,,,0.6388,0.63673,,,,,,0.674050767,,0.654413007
Listeria,monocytogenes,V7; F6861,Dairy,Milk,whole,,,57.9,3,,0.477121255,0.6538,Doyle et al.,2001,"Acid shock, 24h",,0.6388,0.63673,,,,,,0.674050767,,0.654413007
Listeria,monocytogenes,V7; F6861,Dairy,Milk,whole,,,57.9,2.17,,0.336459734,0.6538,Doyle et al.,2001,,,0.6388,0.63673,,,,,,0.674050767,,0.654413007
Listeria,monocytogenes,V7; F6861,Dairy,Milk,whole,,,57.9,2.66,,0.424881637,0.6538,Doyle et al.,2001,"Acid shock, 4h",,0.6388,0.63673,,,,,,0.674050767,,0.654413007
Listeria,monocytogenes,V7; F6861,Dairy,Milk,whole,,,57.9,2.75,,0.439332694,0.6538,Doyle et al.,2001,,,0.6388,0.63673,,,,,,0.674050767,,0.654413007
Listeria,monocytogenes,V7; F6861,Dairy,Milk,whole,,,57.9,3.9,,0.591064607,0.6538,Doyle et al.,2001,"Acid shock, instantly",,0.6388,0.63673,,,,,,0.674050767,,0.654413007
Listeria,monocytogenes,Scott A,Dairy,Milk,whole,,,52.2,30.2,,1.480006943,1.4632,Doyle et al.,2001,,,1.5337,1.55044,,,,,,1.461082525,,1.463757462
Listeria,monocytogenes,Scott A,Dairy,Milk,whole,,,55.2,8.2,,0.913813852,1.0372,Doyle et al.,2001,,,1.0627,1.06954,,,,,,1.046855284,,1.037786696
Listeria,monocytogenes,Scott A,Dairy,Milk,whole,,,57.9,2.3,,0.361727836,0.6538,Doyle et al.,2001,,,0.6388,0.63673,,,,,,0.674050767,,0.654413007
Listeria,monocytogenes,Scott A,Dairy,Milk,whole,,,52.2,29.4,,1.46834733,1.4632,Doyle et al.,2001,with H2O2,,1.5337,1.55044,,,,,,1.461082525,,1.463757462
Listeria,monocytogenes,Scott A,Dairy,Milk,whole,,,55.2,11.1,,1.045322979,1.0372,Doyle et al.,2001,with H2O2,,1.0627,1.06954,,,,,,1.046855284,,1.037786696
Listeria,monocytogenes,Scott A,Dairy,Milk,whole,,,57.9,2.6,,0.414973348,0.6538,Doyle et al.,2001,with H2O2,,0.6388,0.63673,,,,,,0.674050767,,0.654413007
Listeria,monocytogenes,Scott A,Dairy,Milk,whole,,,52.2,10.7,,1.029383778,1.4632,Doyle et al.,2001,with lactoperoxidase,,1.5337,1.55044,,,,,,1.461082525,,1.463757462
Listeria,monocytogenes,Scott A,Dairy,Milk,whole,,,55.2,1.6,,0.204119983,1.0372,Doyle et al.,2001,with lactoperoxidase,,1.0627,1.06954,,,,,,1.046855284,,1.037786696
Listeria,monocytogenes,Scott A,Dairy,Milk,whole,,,57.9,0.5,,-0.301029996,0.6538,Doyle et al.,2001,with lactoperoxidase,,0.6388,0.63673,,,,,,0.674050767,,0.654413007
Listeria,monocytogenes,,Dairy,Milk,"whole and skim, pasteurized",,,62.7,0.35,,-0.455931956,-0.0278,ICMSF,1996,,,-0.1148,-0.13271,,,,,,0.011287181,,-0.027140219
Listeria,monocytogenes,,Dairy,Milk,"whole and skim, pasteurized",,,62.7,1,,0,-0.0278,ICMSF,1996,,,-0.1148,-0.13271,,,,,,0.011287181,,-0.027140219
Listeria,monocytogenes,,Dairy,Milk,"whole, commercially sterile",,,52.2,36.83,6.6,1.566201719,1.4632,ICMSF,1996,,,1.5337,1.55044,,,,,,1.461082525,,1.463757462
Listeria,monocytogenes,,Dairy,Milk,"whole, commercially sterile",,,57.8,4.97,6.6,0.696356389,0.668,ICMSF,1996,,,0.6545,0.65276,,,,,,0.687858341,,0.668612032
Listeria,monocytogenes,,Dairy,Milk,"whole, commercially sterile",,,66.1,0.231666667,6.6,-0.63513645,-0.5106,ICMSF,1996,,,-0.6486,-0.67773,,,,,,-0.458170359,,-0.509907088
Listeria,monocytogenes,,Dairy,Milk,"whole, commercially sterile",,,68.9,0.096666667,6.6,-1.014723257,-0.9082,ICMSF,1996,,,-1.0882,-1.12657,,,,,,-0.84478245,,-0.907479803
Listeria,monocytogenes,,Dairy,Milk,"whole, commercially sterile",,,71.7,0.045,6.6,-1.346787486,-1.3058,ICMSF,1996,,,-1.5278,-1.57541,,,,,,-1.231394542,,-1.305052518
Listeria,monocytogenes,,Dairy,Milk,"whole, homogenate",,,62.8,0.6,,-0.22184875,-0.042,ICMSF,1996,,,-0.1305,-0.14874,,,,,,-0.002520394,,-0.041339245
Listeria,monocytogenes,,Dairy,Milk,"whole, homogenate",,,62.8,4.05,,0.607455023,-0.042,ICMSF,1996,,,-0.1305,-0.14874,,,,,,-0.002520394,,-0.041339245
Listeria,monocytogenes,BS-9,Dairy,Milk,"whole, raw",,,57.9,7.26,5.8,0.860936621,0.6538,Doyle et al.,2001,,,0.6388,0.63673,,,,,,0.674050767,,0.654413007
Listeria,monocytogenes,BS-9,Dairy,Milk,"whole, raw",,,63.15,0.65,5.8,-0.187086643,-0.0917,Doyle et al.,2001,,,-0.18545,-0.20484,,,,,,-0.050846905,,-0.091035834
Listeria,monocytogenes,BS-9,Dairy,Milk,"whole, raw",,,68.9,0.055,5.8,-1.259637311,-0.9082,Doyle et al.,2001,,,-1.0882,-1.12657,,,,,,-0.84478245,,-0.907479803
Listeria,monocytogenes,SE-31,Dairy,Milk,"whole, raw",,,57.9,8.81,5.3,0.944975908,0.6538,Doyle et al.,2001,,,0.6388,0.63673,,,,,,0.674050767,,0.654413007
Listeria,monocytogenes,SE-31,Dairy,Milk,"whole, raw",,,63.15,0.77,5.3,-0.113509275,-0.0917,Doyle et al.,2001,,,-0.18545,-0.20484,,,,,,-0.050846905,,-0.091035834
Listeria,monocytogenes,SE-31,Dairy,Milk,"whole, raw",,,68.9,0.047,5.3,-1.327902142,-0.9082,Doyle et al.,2001,,,-1.0882,-1.12657,,,,,,-0.84478245,,-0.907479803
Listeria,monocytogenes,,Dairy,Milk,"whole, raw",,,52.2,28.06,6.3,1.448087667,1.4632,ICMSF,1996,,,1.5337,1.55044,,,,,,1.461082525,,1.463757462
Listeria,monocytogenes,,Dairy,Milk,"whole, raw",,,57.8,4.83,6.3,0.683947131,0.668,ICMSF,1996,,,0.6545,0.65276,,,,,,0.687858341,,0.668612032
Listeria,monocytogenes,,Dairy,Milk,"whole, raw",,,63.3,0.331666667,6.3,-0.479298174,-0.113,ICMSF,1996,,,-0.209,-0.22889,,,,,,-0.071558267,,-0.112334372
Listeria,monocytogenes,,Dairy,Milk,"whole, raw",,,66.1,0.121666667,6.3,-0.91482839,-0.5106,ICMSF,1996,,,-0.6486,-0.67773,,,,,,-0.458170359,,-0.509907088
Listeria,monocytogenes,,Dairy,Milk,"whole, raw",,,68.9,0.05,6.3,-1.301029996,-0.9082,ICMSF,1996,,,-1.0882,-1.12657,,,,,,-0.84478245,,-0.907479803
Listeria,monocytogenes,,Dairy,Milk,"whole, raw",,,71.7,0.015,6.3,-1.823908741,-1.3058,ICMSF,1996,,,-1.5278,-1.57541,,,,,,-1.231394542,,-1.305052518
Listeria,monocytogenes,Scott A,Dairy,Milk,"whole, sterile",,,57.9,4.8,7,0.681241237,0.6538,Doyle et al.,2001,,,0.6388,0.63673,,,,,,0.674050767,,0.654413007
Listeria,monocytogenes,Scott A,Dairy,Milk,"whole, sterile",,,63.15,0.84,7,-0.075720714,-0.0917,Doyle et al.,2001,,,-0.18545,-0.20484,,,,,,-0.050846905,,-0.091035834
Listeria,monocytogenes,Scott A,Dairy,Milk,"whole, sterile",,,68.9,0.12,7,-0.920818754,-0.9082,Doyle et al.,2001,,,-1.0882,-1.12657,,,,,,-0.84478245,,-0.907479803
Listeria,monocytogenes,BS-9,Dairy,Milk,"whole, sterile",,,57.9,6.8,6.7,0.832508913,0.6538,Doyle et al.,2001,,,0.6388,0.63673,,,,,,0.674050767,,0.654413007
Listeria,monocytogenes,BS-9,Dairy,Milk,"whole, sterile",,,63.15,1.13,6.7,0.053078443,-0.0917,Doyle et al.,2001,,,-0.18545,-0.20484,,,,,,-0.050846905,,-0.091035834
Listeria,monocytogenes,BS-9,Dairy,Milk,"whole, sterile",,,68.9,0.152,6.7,-0.818156412,-0.9082,Doyle et al.,2001,,,-1.0882,-1.12657,,,,,,-0.84478245,,-0.907479803
Listeria,monocytogenes,SE-31,Dairy,Milk,"whole, sterile",,,57.9,7.34,6.8,0.86569606,0.6538,Doyle et al.,2001,,,0.6388,0.63673,,,,,,0.674050767,,0.654413007
Listeria,monocytogenes,SE-31,Dairy,Milk,"whole, sterile",,,63.15,0.83,6.8,-0.080921908,-0.0917,Doyle et al.,2001,,,-0.18545,-0.20484,,,,,,-0.050846905,,-0.091035834
Listeria,monocytogenes,SE-31,Dairy,Milk,"whole, sterile",,,68.9,0.103,6.8,-0.987162775,-0.9082,Doyle et al.,2001,,,-1.0882,-1.12657,,,,,,-0.84478245,,-0.907479803
Listeria,monocytogenes,V7; F6861,Dairy,Milk,"whole, sterile",,,57.9,2.2,,0.342422681,0.6538,Doyle et al.,2001,,,0.6388,0.63673,,,,,,0.674050767,,0.654413007
Listeria,monocytogenes,V7; F6861,Dairy,Milk,"whole, sterile",,,57.9,2.75,,0.439332694,0.6538,Doyle et al.,2001,,,0.6388,0.63673,,,,,,0.674050767,,0.654413007
Listeria,monocytogenes,ATCC 19111,Dairy,Milk,"whole, sterile",,,62.75,0.65,,-0.187086643,-0.0349,Doyle et al.,2001,,,-0.12265,-0.14073,,,,,,0.004383394,,-0.034239732
Listeria,monocytogenes,ATCC 19113,Dairy,Milk,"whole, sterile",,,62.75,0.4,,-0.397940009,-0.0349,Doyle et al.,2001,,,-0.12265,-0.14073,,,,,,0.004383394,,-0.034239732
Listeria,monocytogenes,ATCC 19115,Dairy,Milk,"whole, sterile",,,62.75,0.4,,-0.397940009,-0.0349,Doyle et al.,2001,,,-0.12265,-0.14073,,,,,,0.004383394,,-0.034239732
Listeria,monocytogenes,F5027,Dairy,Milk,"whole, sterile",,,62.75,0.35,,-0.455931956,-0.0349,Doyle et al.,2001,,,-0.12265,-0.14073,,,,,,0.004383394,,-0.034239732
Listeria,monocytogenes,F5069,Dairy,Milk,"whole, sterile",,,55.1,24,4.3,1.380211242,1.0514,Doyle et al.,2001,,,1.0784,1.08557,,,,,,1.060662858,,1.051985722
Listeria,monocytogenes,F5069,Dairy,Milk,"whole, sterile",,,62.75,1,4.3,0,-0.0349,Doyle et al.,2001,,,-0.12265,-0.14073,,,,,,0.004383394,,-0.034239732
Listeria,monocytogenes,F5069,Dairy,Milk,"whole, sterile",,,71.7,0.05,4.3,-1.301029996,-1.3058,Doyle et al.,2001,,,-1.5278,-1.57541,,,,,,-1.231394542,,-1.305052518
Listeria,monocytogenes,F5069,Dairy,Milk,"whole, sterile",,,62.75,0.6,,-0.22184875,-0.0349,Doyle et al.,2001,,,-0.12265,-0.14073,,,,,,0.004383394,,-0.034239732
Listeria,monocytogenes,F5069,Dairy,Milk,"whole, sterile",,,71.7,0.05,,-1.301029996,-1.3058,Doyle et al.,2001,,,-1.5278,-1.57541,,,,,,-1.231394542,,-1.305052518
Listeria,monocytogenes,F5069,Dairy,Milk,"whole, sterile",,,57.9,5.52,7.3,0.741939078,0.6538,Doyle et al.,2001,,,0.6388,0.63673,,,,,,0.674050767,,0.654413007
Listeria,monocytogenes,F5069,Dairy,Milk,"whole, sterile",,,62.75,0.64,7.3,-0.193820026,-0.0349,Doyle et al.,2001,,,-0.12265,-0.14073,,,,,,0.004383394,,-0.034239732
Listeria,monocytogenes,F5069,Dairy,Milk,"whole, sterile",,,66.1,0.28,7.3,-0.552841969,-0.5106,Doyle et al.,2001,,,-0.6486,-0.67773,,,,,,-0.458170359,,-0.509907088
Listeria,monocytogenes,F5069,Dairy,Milk,"whole, sterile",,,66.1,0.3,7.3,-0.522878745,-0.5106,Doyle et al.,2001,,,-0.6486,-0.67773,,,,,,-0.458170359,,-0.509907088
Listeria,monocytogenes,F5069,Dairy,Milk,"whole, sterile",,,68.9,0.085,7.3,-1.070581074,-0.9082,Doyle et al.,2001,,,-1.0882,-1.12657,,,,,,-0.84478245,,-0.907479803
Listeria,monocytogenes,F5069,Dairy,Milk,"whole, sterile",,,68.9,0.14,7.3,-0.853871964,-0.9082,Doyle et al.,2001,,,-1.0882,-1.12657,,,,,,-0.84478245,,-0.907479803
Listeria,monocytogenes,F5069,Dairy,Milk,"whole, sterile",,,57.9,7.16,5.6,0.854913022,0.6538,Doyle et al.,2001,intracellular,,0.6388,0.63673,,,,,,0.674050767,,0.654413007
Listeria,monocytogenes,F5069,Dairy,Milk,"whole, sterile",,,62.75,0.92,5.6,-0.036212173,-0.0349,Doyle et al.,2001,intracellular,,-0.12265,-0.14073,,,,,,0.004383394,,-0.034239732
Listeria,monocytogenes,F5069,Dairy,Milk,"whole, sterile",,,66.1,0.28,5.6,-0.552841969,-0.5106,Doyle et al.,2001,intracellular,,-0.6486,-0.67773,,,,,,-0.458170359,,-0.509907088
Listeria,monocytogenes,F5069,Dairy,Milk,"whole, sterile",,,66.1,0.3,5.6,-0.522878745,-0.5106,Doyle et al.,2001,intracellular,,-0.6486,-0.67773,,,,,,-0.458170359,,-0.509907088
Listeria,monocytogenes,F5069,Dairy,Milk,"whole, sterile",,,68.9,0.065,5.6,-1.187086643,-0.9082,Doyle et al.,2001,intracellular,,-1.0882,-1.12657,,,,,,-0.84478245,,-0.907479803
Listeria,monocytogenes,F5069,Dairy,Milk,"whole, sterile",,,68.9,0.15,5.6,-0.823908741,-0.9082,Doyle et al.,2001,intracellular,,-1.0882,-1.12657,,,,,,-0.84478245,,-0.907479803
Listeria,monocytogenes,NCTC 98635S,Dairy,Milk,"whole, sterile",,,56,9.6,5,0.982271233,0.9236,Doyle et al.,2001,,,0.9371,0.9413,,,,,,0.936394686,,0.924194492
Listeria,monocytogenes,NCTC 98635S,Dairy,Milk,"whole, sterile",,,60,1.5,5,0.176091259,0.3556,Doyle et al.,2001,,,0.3091,0.3001,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,NCTC 98635S,Dairy,Milk,"whole, sterile",,,63.15,0.4,5,-0.397940009,-0.0917,Doyle et al.,2001,,,-0.18545,-0.20484,,,,,,-0.050846905,,-0.091035834
Listeria,monocytogenes,NCTC 98635R,Dairy,Milk,"whole, sterile",,,56,10.5,5,1.021189299,0.9236,Doyle et al.,2001,,,0.9371,0.9413,,,,,,0.936394686,,0.924194492
Listeria,monocytogenes,NCTC 98635R,Dairy,Milk,"whole, sterile",,,60,1.7,5,0.230448921,0.3556,Doyle et al.,2001,,,0.3091,0.3001,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,NCTC 98635R,Dairy,Milk,"whole, sterile",,,63.15,0.4,5,-0.397940009,-0.0917,Doyle et al.,2001,,,-0.18545,-0.20484,,,,,,-0.050846905,,-0.091035834
Listeria,monocytogenes,NCTC 11994S,Dairy,Milk,"whole, sterile",,,56,10.1,5,1.004321374,0.9236,Doyle et al.,2001,,,0.9371,0.9413,,,,,,0.936394686,,0.924194492
Listeria,monocytogenes,NCTC 11994S,Dairy,Milk,"whole, sterile",,,60,1.5,5,0.176091259,0.3556,Doyle et al.,2001,,,0.3091,0.3001,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,NCTC 11994S,Dairy,Milk,"whole, sterile",,,63.15,0.4,5,-0.397940009,-0.0917,Doyle et al.,2001,,,-0.18545,-0.20484,,,,,,-0.050846905,,-0.091035834
Listeria,monocytogenes,NCTC 11994R,Dairy,Milk,"whole, sterile",,,56,11.4,5.1,1.056904851,0.9236,Doyle et al.,2001,,,0.9371,0.9413,,,,,,0.936394686,,0.924194492
Listeria,monocytogenes,NCTC 11994R,Dairy,Milk,"whole, sterile",,,60,1.8,5.1,0.255272505,0.3556,Doyle et al.,2001,,,0.3091,0.3001,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,NCTC 11994R,Dairy,Milk,"whole, sterile",,,63.15,0.5,5.1,-0.301029996,-0.0917,Doyle et al.,2001,,,-0.18545,-0.20484,,,,,,-0.050846905,,-0.091035834
Listeria,monocytogenes,,Dairy,Milk,"whole, sterile",,,52.2,24.08,6.5,1.381656483,1.4632,ICMSF,1996,,,1.5337,1.55044,,,,,,1.461082525,,1.463757462
Listeria,monocytogenes,,Dairy,Milk,"whole, sterile",,,57.8,4.26,6.5,0.629409599,0.668,ICMSF,1996,,,0.6545,0.65276,,,,,,0.687858341,,0.668612032
Listeria,monocytogenes,,Dairy,Milk,"whole, sterile",,,63.3,0.581666667,6.5,-0.235325823,-0.113,ICMSF,1996,,,-0.209,-0.22889,,,,,,-0.071558267,,-0.112334372
Listeria,monocytogenes,,Dairy,Milk,"whole, sterile",,,66.1,0.165,6.5,-0.782516056,-0.5106,ICMSF,1996,,,-0.6486,-0.67773,,,,,,-0.458170359,,-0.509907088
Listeria,monocytogenes,,Dairy,Milk,"whole, sterile",,,68.9,0.053333333,6.5,-1.273001272,-0.9082,ICMSF,1996,,,-1.0882,-1.12657,,,,,,-0.84478245,,-0.907479803
Listeria,monocytogenes,,Dairy,Milk,"whole, sterile",,,71.7,0.033333333,6.5,-1.477121255,-1.3058,ICMSF,1996,,,-1.5278,-1.57541,,,,,,-1.231394542,,-1.305052518
Listeria,monocytogenes,,Dairy,Milk,"whole, sterile",,,71.7,0.083333333,,-1.079181246,-1.3058,ICMSF,1996,,,-1.5278,-1.57541,,,,,,-1.231394542,,-1.305052518
Listeria,monocytogenes,,Dairy,Milk,"whole, sterile",,,71.7,0.051666667,,-1.286789557,-1.3058,ICMSF,1996,,,-1.5278,-1.57541,,,,,,-1.231394542,,-1.305052518
